id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401767620,2181,Drake,Pioneer,home,41,16-21,,25,2-2,0,1,0,0,1,0,10,1,11,278,,2,3,35:33,0,29,3,,48,2,201,,,,10-16,0,5-45,479,1,13.2,4.2
401767634,2019,Allen,SIAC,away,31,26-38,,31,1-2,0,0,,,0,0,60,4,7,309,,,2,31:12,0,-6,1,,36,2,107,,,,4-11,1,1-0,416,0,8.1,3.0
401767634,2413,Morehead State,Pioneer,home,38,16-21,,17,1-2,0,,,,0,0,203,6,8,219,,,1,28:48,,,,,30,3,195,,,,3-8,,8-94,414,0,10.4,6.5
401767651,56,Stetson,Pioneer,home,21,22-33,,20,2-4,1,0,,,1,0,78,5,3,262,,,1,32:28,0,7,2,,43,2,141,,,,5-15,3,10-80,403,2,7.9,3.3
401767655,2674,Valparaiso,Pioneer,home,67,10-16,,20,0-1,1,2,0,20,1,0,145,3,13,113,,2,2,30:05,1,22,2,,38,5,297,,,,5-9,1,9-56,410,2,7.1,7.8
401767657,284,Stonehill,NEC,away,7,30-39,,16,4-5,0,,0,0,1,0,23,1,1,212,,1,1,27:38,0,15,1,,24,0,49,,,,1-12,,7-45,261,1,5.4,2.0
401767657,2529,Sacred Heart,FCS Independents,home,12,11-21,,18,1-3,0,,0,7,1,0,66,2,4,119,,1,0,32:22,,,,,43,1,169,,,,7-14,,4-40,288,1,5.7,3.9
401767732,257,Richmond,Patriot,away,14,14-20,,10,2-2,0,,0,0,1,0,99,1,2,113,,2,0,28:25,0,35,3,,31,1,68,,,,4-13,,7-79,181,1,5.7,2.2
401767732,2329,Lehigh,Patriot,home,21,13-24,,21,1-2,0,,0,9,2,0,17,1,3,135,,1,2,31:35,0,4,1,,41,1,163,,,,5-13,,1-5,298,2,5.6,4.0
401779329,2368,Marist,Pioneer,home,31,11-20,,17,1-2,1,3,0,43,0,0,29,2,7,75,,1,1,33:07,0,-1,1,,43,2,230,,,,4-15,1,7-56,305,1,3.8,5.3
401779329,2441,New Haven,NEC,away,14,31-55,,22,1-4,3,1,,,1,0,85,5,2,377,,,2,26:53,0,36,5,,18,0,19,,,,6-15,3,9-111,396,4,6.9,1.1
401788977,2755,Grambling,SWAC,home,55,26-33,,25,1-3,1,2,0,29,0,0,0,1,7,247,,1,4,37:04,0,81,4,,43,4,219,,,,7-14,2,7-60,466,1,7.5,5.1
401752681,333,Alabama,SEC,home,73,29-33,0,29,2-2,0,2,0,0,0,0,1,1,13,371,2,1,7,34:14,0,45,2,5,36,3,212,0,32,12,9-12,0,5-55,583,0,11.2,5.9
401752681,2433,UL Monroe,Sun Belt,away,0,10-18,0,9,0-1,2,0,,,1,0,33,5,,55,0,,0,25:46,,,,1,32,0,93,0,43,2,6-14,2,4-41,148,3,3.1,2.9
401752682,8,Arkansas,SEC,home,56,20-29,0,29,0-0,0,,0,40,2,,,,8,309,5,2,4,23:03,0,5,1,2,29,4,321,4,34,10,5-6,,8-74,630,2,10.7,11.1
401752682,2032,Arkansas State,Sun Belt,away,14,22-36,1,23,0-2,0,0,0,18,2,1,98,1,2,132,4,2,1,36:57,0,9,1,1,42,0,153,0,28,1,10-19,1,6-56,285,2,3.7,3.6
401752683,2,Auburn,SEC,home,42,26-33,0,27,1-1,1,1,,,0,0,49,2,6,271,0,,3,29:45,0,16,4,1,34,3,224,6,41,14,6-11,5,8-65,495,1,8.2,6.6
401752683,2050,Ball State,Mid-American,away,3,10-16,0,6,1-1,1,1,,,0,0,63,3,3,71,2,,0,30:15,,,,0,33,0,-3,5,45,8,1-14,2,7-57,68,1,4.4,-0.1
401752684,57,Florida,SEC,home,16,23-33,0,20,0-0,0,,,,1,,,,10,222,6,,1,34:13,0,40,1,9,31,0,133,1,29,3,4-12,,11-103,355,1,6.7,4.3
401752684,58,South Florida,American Athletic,away,18,23-36,0,20,1-1,0,,0,0,0,0,51,2,10,263,1,1,1,25:47,0,5,1,2,29,0,128,1,35,7,6-16,,9-75,391,0,7.3,4.4
401752685,61,Georgia,SEC,home,28,27-36,0,26,0-0,2,0,0,0,0,0,20,1,4,231,3,1,0,33:09,0,9,1,0,40,4,190,2,31,6,7-13,2,3-24,421,2,6.4,4.8
401752685,2046,Austin Peay,UAC,away,6,16-23,0,10,1-2,0,2,,,1,,,,6,151,2,,0,26:51,,,,0,28,0,45,0,53,6,3-13,0,3-10,196,1,6.6,1.6
401752686,96,Kentucky,SEC,home,23,16-33,0,18,1-3,0,,0,25,0,,,,11,187,3,2,0,32:13,,,,1,37,2,172,0,39,5,5-16,,6-50,359,0,5.7,4.6
401752686,145,Ole Miss,SEC,away,30,13-24,0,20,1-1,0,,,,2,,,,12,235,6,,0,27:47,0,4,1,3,47,3,222,3,38,4,3-13,,7-86,457,2,9.8,4.7
401752687,99,LSU,SEC,home,23,26-41,0,27,0-0,0,0,,,1,0,42,1,11,237,5,,1,36:52,0,24,2,3,34,1,128,2,23,5,9-16,1,9-77,365,1,5.8,3.8
401752687,2348,Louisiana Tech,Conference USA,away,7,15-26,0,12,1-1,0,,0,0,0,0,16,1,1,96,5,1,1,23:08,0,17,2,3,27,0,58,3,36,8,3-13,,12-130,154,0,3.7,2.1
401752688,9,Arizona State,Big 12,away,20,10-23,0,23,2-3,0,,,,2,0,11,1,8,82,7,,1,37:57,,,,2,51,1,251,3,24,6,3-14,,8-49,333,2,3.6,4.9
401752688,344,Mississippi State,SEC,home,24,19-33,0,17,0-2,0,,0,10,0,0,13,1,6,279,3,2,3,22:03,0,31,2,3,30,0,66,2,16,6,6-14,,6-60,345,0,8.5,2.2
401752689,142,Missouri,SEC,home,42,30-39,0,28,4-5,1,0,0,0,0,0,49,3,10,334,2,1,3,40:27,0,15,3,6,47,2,261,3,24,7,10-19,2,7-70,595,1,8.6,5.6
401752689,2305,Kansas,Big 12,away,31,18-30,1,13,2-2,0,1,,,1,0,72,4,7,223,4,,2,19:33,0,21,1,0,19,1,3,4,35,7,3-11,2,2-10,226,1,7.4,0.2
401752690,130,Michigan,Big Ten,away,13,9-24,0,12,0-1,0,,0,0,0,0,37,2,7,142,4,1,0,27:48,0,4,2,4,32,1,146,2,38,8,3-14,,3-32,288,0,5.9,4.6
401752690,201,Oklahoma,SEC,home,24,21-34,0,22,1-1,1,0,,,1,0,2,3,6,270,1,,1,32:12,0,2,2,3,40,2,138,1,21,8,9-17,1,5-48,408,2,7.9,3.5
401752691,2569,South Carolina State,MEAC,away,10,18-28,0,13,0-1,1,0,,,0,,,,4,208,1,,1,34:39,0,7,1,5,34,0,62,2,38,5,6-16,2,6-55,270,1,7.4,1.8
401752691,2579,South Carolina,SEC,home,38,11-20,3,16,2-2,0,1,,,0,0,11,1,8,128,1,,1,25:21,2,116,3,4,36,1,125,4,41,7,3-12,0,7-48,253,0,6.4,3.5
401752692,2193,East Tennessee State,Southern,away,17,19-31,0,10,0-1,0,1,,,0,0,3,1,5,167,2,,1,24:58,,,,4,28,1,49,0,50,3,2-15,1,8-48,216,0,5.4,1.8
401752692,2633,Tennessee,SEC,home,72,38-52,0,41,0-0,0,,,,0,0,18,1,18,458,4,,4,35:02,0,118,7,5,47,5,276,3,25,7,10-14,,6-45,734,0,8.8,5.9
401752693,23,San José State,Mountain West,away,7,21-43,0,16,0-2,3,1,0,41,1,,,,1,188,3,1,0,29:45,0,21,2,6,29,1,85,1,37,4,4-15,3,3-15,273,4,4.4,2.9
401752693,251,Texas,SEC,home,38,21-33,0,18,2-2,1,3,0,0,1,0,36,2,8,317,8,1,4,30:15,0,0,1,7,32,1,155,2,43,3,2-12,2,12-115,472,2,9.6,4.8
401752694,245,Texas A&M,SEC,home,44,22-34,0,30,1-3,0,1,,,1,0,94,3,8,319,3,,4,34:14,0,18,2,6,45,2,235,6,36,9,5-13,0,5-54,554,1,9.4,5.2
401752694,328,Utah State,Mountain West,away,22,16-31,0,18,1-1,1,0,0,10,0,0,13,1,,172,2,1,3,25:46,,,,3,35,0,78,2,42,5,2-14,2,11-72,250,1,5.5,2.2
401752695,238,Vanderbilt,SEC,away,44,14-20,0,23,1-1,1,1,,,1,,,,8,228,4,,3,32:12,,,,7,37,3,262,3,34,8,5-7,1,11-77,490,2,11.4,7.1
401752695,259,Virginia Tech,ACC,home,20,17-29,0,16,1-2,1,1,0,0,0,,,,8,134,2,1,1,27:48,,,,3,31,1,114,0,15,2,6-14,1,3-30,248,1,4.6,3.7
401752810,158,Nebraska,Big Ten,home,68,32-40,0,31,0-1,1,1,,,0,0,42,2,12,494,4,,4,30:10,0,92,5,5,33,5,234,2,33,9,8-10,1,6-71,728,1,12.4,7.1
401752810,2006,Akron,Mid-American,away,0,9-23,0,13,1-2,1,1,,,0,0,125,7,0,62,2,,0,29:50,,,,0,36,0,113,0,44,3,1-14,2,1-5,175,1,2.7,3.1
401752811,213,Penn State,Big Ten,home,34,19-33,0,20,2-4,0,1,0,3,0,0,18,1,10,200,4,1,2,25:43,0,15,3,8,31,2,209,2,41,9,3-12,0,1-10,409,0,6.1,6.7
401752811,2229,Florida International,Conference USA,away,0,18-33,0,14,3-5,1,0,,,1,,,,,149,6,,0,34:17,0,10,2,2,39,0,141,2,40,2,6-18,1,4-40,290,2,4.5,3.6
401752812,84,Indiana,Big Ten,home,56,21-28,0,28,1-2,0,1,0,24,0,0,17,1,8,280,1,1,5,32:30,0,35,1,1,38,3,316,2,31,14,5-9,0,4-40,596,0,10.0,8.3
401752812,338,Kennesaw State,Conference USA,away,9,13-21,0,10,0-0,1,0,,,1,,,,9,182,3,,0,27:30,0,6,1,1,32,0,89,0,31,3,2-13,1,3-34,271,2,8.7,2.8
401752813,135,Minnesota,Big Ten,home,66,13-17,2,25,1-2,0,2,1,29,1,,,,12,226,1,2,2,33:13,0,35,5,2,46,5,258,2,21,6,2-6,0,4-45,484,1,13.3,5.6
401752813,2466,Northwestern State,Southland,away,0,9-15,0,2,0-0,2,0,0,0,2,0,39,4,,23,0,1,0,20:32,,,,1,22,0,19,1,37,4,2-10,3,2-13,42,4,1.5,0.9
401752814,30,USC,Big Ten,home,59,20-30,0,28,0-0,1,0,0,0,0,0,35,2,11,446,1,1,4,30:12,,,,2,33,4,309,4,50,8,5-9,1,8-93,755,1,14.9,9.4
401752814,290,Georgia Southern,Sun Belt,away,20,24-45,0,26,2-3,0,1,,,1,0,18,1,2,235,2,,3,29:48,0,1,2,1,33,0,142,0,41,2,4-15,1,1-1,377,1,5.2,4.3
401752815,194,Ohio State,Big Ten,home,70,24-28,1,32,1-1,0,2,0,0,1,0,17,1,10,377,1,1,5,30:55,0,8,1,1,38,4,274,2,36,9,5-7,1,3-15,651,1,13.5,7.2
401752815,2755,Grambling,SWAC,away,0,11-22,0,10,1-1,2,0,0,0,1,0,14,1,0,72,1,1,0,29:05,,,,0,33,0,94,0,41,1,3-14,2,6-40,166,3,3.3,2.8
401752816,103,Boston College,ACC,away,40,34-45,0,25,0-0,1,1,,,0,0,54,3,10,390,1,,4,30:12,,,,2,25,1,67,4,31,8,5-11,1,8-59,457,1,8.7,2.7
